Well ID,Analyte Cmpd ID,Analyte Mass,Analyte RT,Sample Name,Sample ID,Analyte Area,Fraction
29,960,422.00/312.08,0.46,C10NNMT1,Unbound,3635454.07,83.62%
29,960,422.00/312.08,1.44,C10NNMT1,Wash1,227682.97,5.24%
29,960,422.00/312.08,2.44,C10NNMT1,Wash2,56871.87,1.31%
29,960,422.00/312.08,3.43,C10NNMT1,Bound/Elution,427469.33,9.83%
30,960,422.00/312.08,0.46,C10NNMT2,Unbound,5519795.43,84.10%
30,960,422.00/312.08,1.43,C10NNMT2,Wash1,300758.93,4.58%
30,960,422.00/312.08,2.44,C10NNMT2,Wash2,68766.35,1.05%
30,960,422.00/312.08,3.43,C10NNMT2,Bound/Elution,673735.07,10.27%
31,960,422.00/312.08,0.46,C10NNMT3,Unbound,5710464.44,84.88%
31,960,422.00/312.08,1.44,C10NNMT3,Wash1,487385.26,7.24%
31,960,422.00/312.08,2.44,C10NNMT3,Wash2,124857.93,1.86%
31,960,422.00/312.08,3.43,C10NNMT3,Bound/Elution,405156.07,6.02%
25,960,422.00/312.08,0.46,C10only1,Unbound,2320781.65,89.57%
25,960,422.00/312.08,1.43,C10only1,Wash1,148380.99,5.73%
25,960,422.00/312.08,2.44,C10only1,Wash2,48882.89,1.89%
25,960,422.00/312.08,3.43,C10only1,Bound/Elution,72935.52,2.81%
26,960,422.00/312.08,0.45,C10only2,Unbound,4551925.27,93.10%
26,960,422.00/312.08,1.44,C10only2,Wash1,236677.5,4.84%
26,960,422.00/312.08,2.44,C10only2,Wash2,27597.36,0.56%
26,960,422.00/312.08,3.44,C10only2,Bound/Elution,73195.16,1.50%
27,960,422.00/312.08,0.46,C10only3,Unbound,6345780.07,90.57%
27,960,422.00/312.08,1.44,C10only3,Wash1,315453.21,4.50%
27,960,422.00/312.08,2.44,C10only3,Wash2,72962.69,1.04%
27,960,422.00/312.08,3.43,C10only3,Bound/Elution,272121.68,3.88%
5,960,422.00/312.08,0.46,C5NNMT1,Unbound,3488958.54,88.29%
5,960,422.00/312.08,1.44,C5NNMT1,Wash1,297706.9,7.53%
5,960,422.00/312.08,2.44,C5NNMT1,Wash2,69874.47,1.77%
5,960,422.00/312.08,3.44,C5NNMT1,Bound/Elution,95021.12,2.40%
6,960,422.00/312.08,0.46,C5NNMT2,Unbound,7457859.31,92.20%
6,960,422.00/312.08,1.44,C5NNMT2,Wash1,440030.61,5.44%
6,960,422.00/312.08,2.43,C5NNMT2,Wash2,61545.94,0.76%
6,960,422.00/312.08,3.43,C5NNMT2,Bound/Elution,129713.18,1.60%
7,960,422.00/312.08,0.46,C5NNMT3,Unbound,6058939.42,89.23%
7,960,422.00/312.08,1.44,C5NNMT3,Wash1,470273.24,6.93%
7,960,422.00/312.08,2.44,C5NNMT3,Wash2,113058.01,1.66%
7,960,422.00/312.08,3.44,C5NNMT3,Bound/Elution,148290.94,2.18%
1,960,422.00/312.08,0.46,C5only1,Unbound,994540.08,87.00%
1,960,422.00/312.08,1.43,C5only1,Wash1,63260.28,5.53%
1,960,422.00/312.08,2.44,C5only1,Wash2,32273.87,2.82%
1,960,422.00/312.08,3.44,C5only1,Bound/Elution,53098.14,4.64%
2,960,422.00/312.08,0.46,C5only2,Unbound,4206044.82,89.67%
2,960,422.00/312.08,1.44,C5only2,Wash1,332019.54,7.08%
2,960,422.00/312.08,2.44,C5only2,Wash2,50030.44,1.07%
2,960,422.00/312.08,3.44,C5only2,Bound/Elution,102229.81,2.18%
3,960,422.00/312.08,0.46,C5only3,Unbound,6844493.86,92.57%
3,960,422.00/312.08,1.43,C5only3,Wash1,295149.3,3.99%
3,960,422.00/312.08,2.44,C5only3,Wash2,64895.09,0.88%
3,960,422.00/312.08,3.44,C5only3,Bound/Elution,189326.11,2.56%
73,960,422.00/312.08,0.46,DynabeadsC10_1,Unbound,2595181.18,89.59%
73,960,422.00/312.08,1.44,DynabeadsC10_1,Wash1,186487.58,6.44%
73,960,422.00/312.08,2.44,DynabeadsC10_1,Wash2,30983.17,1.07%
73,960,422.00/312.08,3.43,DynabeadsC10_1,Bound/Elution,84077,2.90%
74,960,422.00/312.08,0.45,DynabeadsC10_2,Unbound,3617827.62,86.02%
74,960,422.00/312.08,1.44,DynabeadsC10_2,Wash1,254002.04,6.04%
74,960,422.00/312.08,2.44,DynabeadsC10_2,Wash2,89599.39,2.13%
74,960,422.00/312.08,3.43,DynabeadsC10_2,Bound/Elution,244179.04,5.81%
75,960,422.00/312.08,0.46,DynabeadsC10_3,Unbound,5134655.25,89.16%
75,960,422.00/312.08,1.44,DynabeadsC10_3,Wash1,359490.87,6.24%
75,960,422.00/312.08,2.44,DynabeadsC10_3,Wash2,70129.4,1.22%
75,960,422.00/312.08,3.44,DynabeadsC10_3,Bound/Elution,194758.36,3.38%
77,960,422.00/312.08,0.46,DynabeadsC10NNMT1,Unbound,3442634.86,65.40%
77,960,422.00/312.08,1.44,DynabeadsC10NNMT1,Wash1,215763.25,4.10%
77,960,422.00/312.08,2.44,DynabeadsC10NNMT1,Wash2,56738.9,1.08%
77,960,422.00/312.08,3.43,DynabeadsC10NNMT1,Bound/Elution,1548625.37,29.42%
78,960,422.00/312.08,0.46,DynabeadsC10NNMT2,Unbound,5488000.81,65.82%
78,960,422.00/312.08,1.43,DynabeadsC10NNMT2,Wash1,415621.1,4.99%
78,960,422.00/312.08,2.44,DynabeadsC10NNMT2,Wash2,102623.06,1.23%
78,960,422.00/312.08,3.44,DynabeadsC10NNMT2,Bound/Elution,2331066.85,27.96%
79,960,422.00/312.08,0.46,DynabeadsC10NNMT3,Unbound,4549311.22,60.68%
79,960,422.00/312.08,1.44,DynabeadsC10NNMT3,Wash1,392812.23,5.24%
79,960,422.00/312.08,2.44,DynabeadsC10NNMT3,Wash2,108010.5,1.44%
79,960,422.00/312.08,3.43,DynabeadsC10NNMT3,Bound/Elution,2447693.06,32.65%
53,960,422.00/312.08,0.46,DynabeadsNNMT1,Unbound,2354720.47,38.61%
53,960,422.00/312.08,1.44,DynabeadsNNMT1,Wash1,183169.91,3.00%
53,960,422.00/312.08,2.44,DynabeadsNNMT1,Wash2,67002.82,1.10%
53,960,422.00/312.08,3.44,DynabeadsNNMT1,Bound/Elution,3494054.46,57.29%
54,960,422.00/312.08,0.46,DynabeadsNNMT2,Unbound,3942725.64,42.87%
54,960,422.00/312.08,1.43,DynabeadsNNMT2,Wash1,354914.05,3.86%
54,960,422.00/312.08,2.44,DynabeadsNNMT2,Wash2,123498.93,1.34%
54,960,422.00/312.08,3.44,DynabeadsNNMT2,Bound/Elution,4776695.58,51.93%
55,960,422.00/312.08,0.46,DynabeadsNNMT3,Unbound,3647564.46,43.59%
55,960,422.00/312.08,1.44,DynabeadsNNMT3,Wash1,371475.08,4.44%
55,960,422.00/312.08,2.44,DynabeadsNNMT3,Wash2,160266.52,1.92%
55,960,422.00/312.08,3.44,DynabeadsNNMT3,Bound/Elution,4188748.02,50.06%
49,960,422.00/312.08,0.46,Dynabeadsonly1,Unbound,2628694.66,86.56%
49,960,422.00/312.08,1.44,Dynabeadsonly1,Wash1,195085.61,6.42%
49,960,422.00/312.08,2.44,Dynabeadsonly1,Wash2,33917.89,1.12%
49,960,422.00/312.08,3.43,Dynabeadsonly1,Bound/Elution,179184.95,5.90%
50,960,422.00/312.08,0.46,Dynabeadsonly2,Unbound,3816626.6,83.43%
50,960,422.00/312.08,1.44,Dynabeadsonly2,Wash1,363060.55,7.94%
50,960,422.00/312.08,2.44,Dynabeadsonly2,Wash2,71736.14,1.57%
50,960,422.00/312.08,3.44,Dynabeadsonly2,Bound/Elution,323361.88,7.07%
51,960,422.00/312.08,0.46,Dynabeadsonly3,Unbound,6220991.94,86.42%
51,960,422.00/312.08,1.44,Dynabeadsonly3,Wash1,509115.26,7.07%
51,960,422.00/312.08,2.44,Dynabeadsonly3,Wash2,101832.95,1.41%
51,960,422.00/312.08,3.44,Dynabeadsonly3,Bound/Elution,366958.85,5.10%
