sample.id,structure
NCGC00160397-09,NC1=NC(=NC(=N1)C2=CC(=CC=C2Cl)Cl)N
NCGC00161962-01,[H][C@@]1(C[C@]([H])(O)[C@@]([H])(CO)O1)N2C=NC3=C2N=CN=C3O
NCGC00178054-20,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC
NCGC00346498-05,CC(C)(C)OC(=O)N[C@H]1CCCCC\C=C/[C@@H]2C[C@]2(NC(=O)[C@@H]3C[C@H](CN3C1=O)OC(=O)N4CC5=C(C4)C(=CC=C5)F)C(=O)N[S+]([O-])(=O)C6CC6
NCGC00346719-04,C[C@]\1(CCS\C(=N1)N)C2=CC(=C(F)C=C2F)C3=CN=CN=C3
NCGC00378691-02,COC1=CN=C(O[C@@H]2C[C@H](N(C2)C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)N[C@@]3(C[C@H]3C=C)C(=O)N[S+]([O-])(=O)C4CC4)C5=CC(=CC=C15)Cl
NCGC00390431-01,CCCCCC(O)\C=C\C1C(O)CC(=O)C1C\C=C\CCCC(O)=O
NCGC00390674-01,CC(C)[C@H]1[C@H]2[C@@H](CCN2C(=O)\C=C\CN3CCCCC3)N(C1=O)[S+](C)([O-])=O
NCGC00509859-02,CC1=CN=C(C=N1)C(=O)N[C@H]2CCCCC\C=C/[C@@H]3C[C@]3(NC(=O)[C@@H]4C[C@H](CN4C2=O)OC5=NC6=C(C=CC=C6)C7=C5C=CC=C7)C(=O)N[S+]([O-])(=O)C8CC8
NCGC00538085-01,OC(=O)[C@@H]1C[C@H](CN1C(=O)C[P](O)(=O)CCCCC2=CC=CC=C2)C3CCCCC3
NCGC00601698-01,[H]\C1=C([H])/C(F)(F)C2=NC3=CC=CC=C3N=C2O[C@@]4([H])CN(C(=O)[C@@]([H])(\N=C(O)\O[C@]5([H])CCC[C@@]5([H])OC1)C(C)(C)C)[C@@]([H])(C4)C(\O)=N\[C@@]6(C[C@@]6([H])C(F)F)C(\O)=N\[S+]([O-])(=O)C7(C)CC7
NCGC00687615-01,CC[C@@H]1[C@@H]2CN([C@@H]1C(=O)N[C@@]3(C[C@H]3C(F)F)C(=O)N[S+]([O-])(=O)C4(C)CC4)C(=O)[C@@H](NC(=O)O[C@@H]5C[C@H]5CCCCC(F)(F)C6=NC7=C(C=C(OC)C=C7)N=C6O2)C(C)(C)C
