sampleID,MW
NCGC00022043-10,372.51
NCGC00161962-01,252.23
NCGC00025000-16,531.44
NCGC00015577-02,531.44
NCGC00090752-19,391.56
NCGC00371123-08,361.24
NCGC00018296-10,390.96
NCGC00160397-09,256.1
NCGC00388058-01,337.42
NCGC00016724-07,959.13
NCGC00263153-09,312.37
NCGC00378597-02,414.55
NCGC00024613-06,255.23
NCGC00386299-01,341.41
NCGC00263182-12,396.45
NCGC00346532-02,445.63
NCGC00167455-02,429.56
NCGC00345816-01,463.58
NCGC00346692-05,508.56
NCGC00371133-04,283.38
NCGC00163115-05,465.63
NCGC00015924-17,167.21
NCGC00095654-06,222.37
NCGC00095563-04,238.24
NCGC00238451-10,434.47
NCGC00015501-12,160.18
NCGC00250410-05,382.46
NCGC00166022-02,152.15
NCGC00161825-06,582.06
NCGC00017236-16,270.24
NCGC00025323-09,308.38
NCGC00015167-03,308.38
NCGC00163397-09,175.14
NCGC00164571-14,528.54
NCGC00090954-03,192.12
NCGC00163424-15,585.7
NCGC00094937-07,273.72
NCGC00484864-01,392.58
NCGC00015238-20,169.57
NCGC00249377-05,300.38
NCGC00249170-03,90.03
NCGC00090701-10,147.18
NCGC00160621-07,180.16
NCGC00378845-06,357.39
NCGC00159431-02,149.22
NCGC00185769-02,234.29
NCGC00015074-17,222.25
NCGC00346443-02,598.67
NCGC00013556-15,650.98
NCGC00420698-02,524.7
NCGC00371057-02,371.31
NCGC00181111-05,351.45
NCGC00247516-02,432.51
NCGC00320093-02,117.1
NCGC00090504-16,256.26
NCGC00168771-04,585.62
NCGC00386274-02,282.39
NCGC00371135-05,424.31
NCGC00480817-03,280.67
NCGC00344330-03,282.47
NCGC00264038-01,150.13
NCGC00389270-01,150.13
NCGC00386372-01,117.96
NCGC00091915-01,786.73
NCGC00187646-03,307.35
NCGC00388498-02,347.22
NCGC00389581-04,318.76
NCGC00016322-20,248.31
NCGC00346463-01,446.5
NCGC00162385-05,250.26
NCGC00087387-06,243.69
NCGC00094047-10,875.11
NCGC00371124-01,485.63
NCGC00390410-01,406.48
NCGC00182868-07,391.52
NCGC00379054-02,284.36
NCGC00263639-10,269.3
NCGC00346895-01,474.56
NCGC00346655-08,472.55
NCGC00163431-06,397.47
NCGC00163431-07,397.47
NCGC00016015-13,348.49
NCGC00378626-04,514.53
NCGC00183365-01,132.16
NCGC00167785-13,392.5
NCGC00242506-27,384.25
NCGC00522475-02,409.42
NCGC00346545-08,679.86
NCGC00263184-02,442.91
NCGC00356145-08,571.59
NCGC00017244-07,470.69
NCGC00090892-07,420.37
NCGC00179623-16,405.5
NCGC00346637-09,525.57
NCGC00379006-02,260.22
NCGC00095801-07,162.14
NCGC00250404-16,244.3
NCGC00015083-04,130.19
NCGC00016777-17,516.86
NCGC00092381-05,463.34
NCGC00166300-02,247.14
NCGC00371065-01,436.55
NCGC00386320-03,463.22
NCGC00263617-09,307.39
NCGC00017324-24,418.57
NCGC00162365-03,404.16
NCGC00346491-05,380.4
NCGC00091051-08,137.14
NCGC00485423-02,371.87
NCGC00015705-13,179.31
NCGC00344109-03,242.27
NCGC00345799-10,532.62
NCGC00346938-04,527.64
NCGC00263556-06,315.32
NCGC00346698-08,462.55
NCGC00024476-13,147.13
NCGC00179532-04,358.3
NCGC00015741-15,302.37
NCGC00389603-01,340.42
NCGC00601698-01,838.88
NCGC00402358-02,438.24
NCGC00345539-06,379.46
NCGC00091469-16,670.85
NCGC00091469-07,670.85
NCGC00263143-02,556.41
NCGC00262929-10,627.75
NCGC00262929-04,627.75
NCGC00090782-14,567.8
NCGC00090782-17,567.8
